Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Muri, H.I., Hjelme, D.R.","LSPR coupling and distribution of interparticle distances between nanoparticles in hydrogel on optical fiber end face",2017,"Sensors (Switzerland)","17","12", 2723,"","",,1,10.3390/s17122723,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036464931&doi=10.3390%2fs17122723&partnerID=40&md5=628cf71ce388ab700a5390ffb06a7648",Article,,Scopus,2-s2.0-85036464931
"Pathak, A.K., Singh, V.K.","A wide range and highly sensitive optical fiber pH sensor using polyacrylamide hydrogel",2017,"Optical Fiber Technology","39",,,"43","48",,,10.1016/j.yofte.2017.09.022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030715203&doi=10.1016%2fj.yofte.2017.09.022&partnerID=40&md5=aead781ba34482e8d829e0834f03ba1c",Article,,Scopus,2-s2.0-85030715203
"Yetisen, A.K., Jiang, N., Fallahi, A., Montelongo, Y., Ruiz-Esparza, G.U., Tamayol, A., Zhang, Y.S., Mahmood, I., Yang, S.-A., Kim, K.S., Butt, H., Khademhosseini, A., Yun, S.-H.","Glucose-Sensitive Hydrogel Optical Fibers Functionalized with Phenylboronic Acid",2017,"Advanced Materials","29","15", 1606380,"","",,1,10.1002/adma.201606380,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013036531&doi=10.1002%2fadma.201606380&partnerID=40&md5=e9b88a4006badbb7932b5e05fce697fc",Article,Open Access,Scopus,2-s2.0-85013036531
"Mishra, S.K., Zou, B., Chiang, K.S.","Wide-Range pH Sensor Based on a Smart-Hydrogel-Coated Long-Period Fiber Grating",2017,"IEEE Journal on Selected Topics in Quantum Electronics","23","2", 7745946,"","",,1,10.1109/JSTQE.2016.2629662,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008425650&doi=10.1109%2fJSTQE.2016.2629662&partnerID=40&md5=39eea3c865194ffc229483b75c9978fe",Article,,Scopus,2-s2.0-85008425650
"Zhang, Z.F., Zhang, Y.","Humidity sensor based on optical fiber attached with hydrogel spheres",2015,"Optics and Laser Technology","74",,,"16","19",,5,10.1016/j.optlastec.2015.05.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930937444&doi=10.1016%2fj.optlastec.2015.05.006&partnerID=40&md5=abef0db0db445ccd3a299e060a1b8218",Article,,Scopus,2-s2.0-84930937444
"Mishra, S.K., Gupta, B.D.","Surface plasmon resonance based fiber optic pH sensor utilizing Ag/ITO/Al/hydrogel layers",2013,"Analyst","138","9",,"2640","2646",,34,10.1039/c3an00097d,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875844488&doi=10.1039%2fc3an00097d&partnerID=40&md5=6110f89226a93987fb3c64b1108cac62",Article,,Scopus,2-s2.0-84875844488
"Singh, S., Gupta, B.D.","Fabrication and characterization of a highly sensitive surface plasmon resonance based fiber optic pH sensor utilizing high index layer and smart hydrogel",2012,"Sensors and Actuators, B: Chemical","173",,,"268","273",,34,10.1016/j.snb.2012.06.089,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867079418&doi=10.1016%2fj.snb.2012.06.089&partnerID=40&md5=80f4edcea31c3b1818b2d5328c0d232d",Article,,Scopus,2-s2.0-84867079418
"Fernandes, M.S., Dias, N.S., Silva, A.F., Nunes, J.S., Lanceros-Méndez, S., Correia, J.H., Mendes, P.M.","Hydrogel-based photonic sensor for a biopotential wearable recording system",2010,"Biosensors and Bioelectronics","26","1",,"80","86",,15,10.1016/j.bios.2010.05.013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649288597&doi=10.1016%2fj.bios.2010.05.013&partnerID=40&md5=220f9a5da48038fe0ae8e015b9e8d31e",Article,,Scopus,2-s2.0-78649288597
"Yu, X., Childs, P., Zhang, M., Liao, Y., Ju, J., Jin, W.","Relative humidity sensor based on cascaded long-period gratings with hydrogel coatings and Fourier demodulation",2009,"IEEE Photonics Technology Letters","21","24", 5291749,"1828","1830",,17,10.1109/LPT.2009.2034620,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-73049083484&doi=10.1109%2fLPT.2009.2034620&partnerID=40&md5=5fbd29d830610d895bdf7e78992f3810",Article,,Scopus,2-s2.0-73049083484
"Tierney, S., Hasle Falch, B.M., Hjelme, D.R., Stokke, B.T.","Determination of glucose levels using a functionalized hydrogel-optical fiber biosensor: Toward continuous monitoring of blood glucose in vivo",2009,"Analytical Chemistry","81","9",,"3630","3636",,74,10.1021/ac900019k,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-66149130308&doi=10.1021%2fac900019k&partnerID=40&md5=83c36488ba9c770cfaafd69a9bb76ef2",Article,,Scopus,2-s2.0-66149130308
"Tierney, S., Volden, S., Stokke, B.T.","Glucose sensors based on a responsive gel incorporated as a Fabry-Perot cavity on a fiber-optic readout platform",2009,"Biosensors and Bioelectronics","24","7",,"2034","2039",,47,10.1016/j.bios.2008.10.014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-60349103081&doi=10.1016%2fj.bios.2008.10.014&partnerID=40&md5=86d136ca83791fce105af85326728d91",Article,,Scopus,2-s2.0-60349103081
"Tierney, S., Hjelme, D.R., Stokke, B.T.","Determination of swelling of responsive gels with nanometer resolution. Fiber-optic based platform for hydrogels as signal transducers",2008,"Analytical Chemistry","80","13",,"5086","5093",,46,10.1021/ac800292k,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-46849115783&doi=10.1021%2fac800292k&partnerID=40&md5=d44c9e6639f4c49d51827a066fb847d9",Article,,Scopus,2-s2.0-46849115783
"Wang, L., Liu, Y., Zhang, M., Tu, D., Mao, X., Liao, Y.","A relative humidity sensor using a hydrogel-coated long period grating",2007,"Measurement Science and Technology","18","10",,"3131","3134",,30,10.1088/0957-0233/18/10/S13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-36749066126&doi=10.1088%2f0957-0233%2f18%2f10%2fS13&partnerID=40&md5=74a19e053411e96a6d6090d5864fd6a7",Article,,Scopus,2-s2.0-36749066126
"Liu, Y., Wang, L., Zhang, M., Tu, D., Mao, X., Liao, Y.","Long-period grating relative humidity sensor with hydrogel coating",2007,"IEEE Photonics Technology Letters","19","12",,"880","882",,55,10.1109/LPT.2007.897551,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249802328&doi=10.1109%2fLPT.2007.897551&partnerID=40&md5=cb4ef7b7e64351a1ef6529ff27856104",Article,,Scopus,2-s2.0-34249802328
"Arregui, F.J., Ciaurriz, Z., Oneca, M., Matias, I.R.","An experimental study about hydrogels for the fabrication of optical fiber humidity sensors",2003,"Sensors and Actuators, B: Chemical","96","1-2",,"165","172",,68,10.1016/S0925-4005(03)00520-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242583697&doi=10.1016%2fS0925-4005%2803%2900520-3&partnerID=40&md5=f271776181c152e9c3221af5d6393d31",Article,,Scopus,2-s2.0-0242583697
